keyword,search_volume,intent,commercial_value,difficulty,current_position,target_position,primary_owning_url,role,secondary_supporting_urls,title_coverage,meta_coverage,h1_coverage,h2_coverage,body_coverage,faq_coverage,internal_anchor_coverage,cannibalisation_risk,competitor_gap,serp_similarity,optimization_score,next_action,silo,page_visitors,page_pageviews,page_conversions,page_seconds,page_bounce,page_sessions,behaviour_source,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,gsc_ranking_url,demand_share
party catering in dubai,210,commercial,1092.0,3,45,5,/baby-shower-catering-dubai,sub,/birthday-catering-dubai /blog/dinner-party-menu-ideas-dubai /blog/nye-party-catering-dubai /blog/vegan-catering-dubai-guide /canape-catering-dubai /catering-dubai,False,False,False,False,2,False,partial,medium — many bodies say it,"competitor #5, we not in top 30",,6,"cover it in a FAQ answer; an inbound anchor from a same-silo page; Google ranks /party-catering-dubai for this, not the owner — move the keyword or the content",Private Events,1,1,0,,,0,,0,88,0,44.9,/party-catering-dubai,0.14
iftar meal box,210,transactional,0,0,,5,/blog/iftar-at-home-dubai,sub,,False,False,False,False,1,False,partial,low,no tracked competitor in top 30,,3,a second natural mention; cover it in a FAQ answer; an inbound anchor from a same-silo page,Blog and Guides,1,1,0,,,0,,,,,,,
catering dubai party,210,commercial,1092.0,0,31,5,/catering-dubai,sub,/christmas-catering-dubai /new-year-catering-dubai,False,False,False,False,0,False,partial,medium — SERP looks like another page,"competitor #6, we not in top 30",0.18,2,"write one sentence that says it; cover it in a FAQ answer; an inbound anchor from a same-silo page; Google ranks /cocktail-party-catering-dubai for this, not the owner — move the keyword or the content; merge → /birthday-catering-package-dubai",Catering,80,211,0,47.5,0,2,ga4,0,25,0,31.4,/cocktail-party-catering-dubai,0.04
private chef,210,informational,703.5,0,37,5,/private-chef-dubai,sub,/ /about /allergy-safe-catering-dubai /apartment-private-dining-dubai /baby-shower-catering-dubai /bbq-catering-dubai,True,True,True,True,19,True,exact,medium — many bodies say it,"competitor #5, we #33",0.57,7,"remove it from the heading (subs live in sentences); Google ranks / for this, not the owner — move the keyword or the content",Private Chef,114,355,0,143.3,0.3571,14,ga4,1,95,0.0105,36.8,/,0.151
party catering dubai,210,commercial,1092.0,7,43,5,/private-party-catering-dubai,sub,/birthday-catering-dubai /blog/dinner-party-menu-ideas-dubai /blog/nye-party-catering-dubai /buffet-vs-plated-dubai /christmas-catering-dubai /cocktail-party-catering-dubai,True,True,True,True,5,False,partial,medium — many bodies say it,"competitor #6, we not in top 30",0.57,4,"remove it from the heading (subs live in sentences); cover it in a FAQ answer; an inbound anchor from a same-silo page; Google ranks /cocktail-party-catering-dubai for this, not the owner — move the keyword or the content",Private Events,13,15,0,1,1.0,5,first-party,0,89,0,42.9,/cocktail-party-catering-dubai,0.141
food catering dubai,170,commercial,651.1,10,44,5,/catering-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,"competitor #8, we not in top 30",0.4,1,write one sentence that says it; cover it in a FAQ answer; an inbound anchor from a same-silo page,Catering,80,211,0,47.5,0,2,ga4,0,20,0,43.5,/catering-dubai,0.039
chef training dubai,170,commercial,260.1,4,,5,/chef-training-academy,primary,,True,True,True,True,2,True,partial,low,no tracked competitor in top 30,1.0,9,get an inbound link with this anchor,Trust / Utility,0,0,0,,,0,,,,,,,
private dining dubai,170,commercial,436.9,0,44,5,/guide/private-dining-dubai,primary,/apartment-private-dining-dubai /blog/halal-private-dining-dubai-what-to-ask /dubai-food-trends-report-2026 /halal-private-dining-dubai /tasting-menu-dubai,True,True,True,True,5,False,exact,high — used in other pages' headings,no tracked competitor in top 30,1.0,9,"answer a FAQ that contains it; Google ranks /luxury-dining-experiences for this, not the owner — move the keyword or the content; remove it from 1 other page(s)' headings",Blog and Guides,1,1,0,59,1.0,1,first-party,0,227,0,44.4,/luxury-dining-experiences,0.445
romantic private dining dubai,170,informational,436.9,0,,5,/guide/private-dining-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.09,3,a second natural mention; cover it in a FAQ answer; an inbound anchor from a same-silo page,Blog and Guides,1,1,0,59,1.0,1,first-party,,,,,,
best caterers in dubai,170,commercial,0,13,,5,/how-to-choose-caterer-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,"competitor #4, we not in top 30",0.0,3,a second natural mention; cover it in a FAQ answer; an inbound anchor from a same-silo page; merge → /best-catering-companies-dubai,Blog and Guides,1,1,0,,,0,,,,,,,
independent food company dubai,170,commercial,142.8,1,,5,/influencer-partnerships,sub,,False,False,False,False,1,False,none,low,no tracked competitor in top 30,,2,a second natural mention; cover it in a FAQ answer; an inbound anchor from a same-silo page,Partners / Recruit,0,0,0,,,0,,,,,,,
food party dubai menu,140,informational,0,0,,5,/blog/dinner-party-menu-ideas-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,1,write one sentence that says it; cover it in a FAQ answer; an inbound anchor from a same-silo page,Blog and Guides,1,1,0,14,0.5,2,first-party,,,,,,
home catering dubai,140,commercial,746.2,4,61,5,/catering-dubai,sub,/private-jet-catering-dubai,False,False,False,False,2,True,partial,medium — SERP looks like another page,"competitor #7, we not in top 30",0.08,8,"an inbound anchor from a same-silo page; Google ranks /catering-packages-dubai for this, not the owner — move the keyword or the content; merge → /private-party-catering-dubai",Catering,80,211,0,47.5,0,2,ga4,0,166,0,61.1,/catering-packages-dubai,0.395
bbq catering dubai,110,commercial,786.5,27,,5,/bbq-catering-dubai,primary,/blog/desert-dinner-party-dubai /desert-dining-dubai /dubai-catering-prices-guide /dubai-event-catering-price-guide-2026 /villa-catering-ideas-dubai /yacht-catering-checklist-dubai,True,True,True,True,8,True,exact,medium — many bodies say it,no tracked competitor in top 30,1.0,10,hold — nothing to do,Catering,6,7,0,52.0,0,1,ga4,,,,,,
top 10 catering companies in dubai,110,commercial,221.1,29,,5,/best-catering-companies-dubai,sub,,False,False,False,False,1,False,partial,low,no tracked competitor in top 30,0.5,3,a second natural mention; cover it in a FAQ answer; an inbound anchor from a same-silo page,Catering,0,0,0,,1.0,1,first-party,,,,,,
canape catering dubai,110,commercial,761.2,0,32,5,/canape-catering-dubai,primary,/afternoon-tea-catering-dubai /corporate-catering-checklist-dubai /exhibition-catering-dubai /yacht-catering-checklist-dubai /yacht-catering-guide-dubai,True,False,True,True,8,True,exact,low,"competitor #12, we not in top 30",1.0,9,say it in the meta description,Catering,14,17,0,12,0.6,5,first-party,0,8,0,31.6,/canape-catering-dubai,0.024
dinner on a yacht,110,informational,113.3,,,5,/partners/yacht-charters-dubai,sub,/blog/nye-party-catering-dubai,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,4,a second natural mention; cover it in a FAQ answer; an inbound anchor from a same-silo page,Partners / Recruit,0,0,0,,,0,,,,,,,
weight loss meal plan dubai,110,commercial,434.5,26,,5,/wellness-meal-prep-dubai,sub,,False,False,False,False,0,False,partial,low,no tracked competitor in top 30,0.6,1,write one sentence that says it; cover it in a FAQ answer; an inbound anchor from a same-silo page,Private Chef,6,11,0,16,0.429,7,first-party,,,,,,
best catering companies dubai,90,commercial,445.5,41,,10,/best-catering-companies-dubai,primary,,True,True,True,False,3,False,partial,low,no tracked competitor in top 30,1.0,7,one H2 carries it; answer a FAQ that contains it; get an inbound link with this anchor,Catering,0,0,0,,1.0,1,first-party,,,,,,
healthy meal prep ideas for the week,90,commercial,325.8,,,10,/blog/weekly-meal-prep-vs-full-time-chef-dubai,sub,,False,False,False,False,0,False,partial,low,no tracked competitor in top 30,,1,write one sentence that says it; cover it in a FAQ answer,Blog and Guides,1,3,0,,,0,,,,,,,
breakfast catering dubai,90,commercial,264.6,,28,10,/breakfast-catering-dubai,primary,/brunch-catering-dubai,True,True,True,True,11,True,exact,low,no tracked competitor in top 30,1.0,10,"Google ranks /brunch-catering-dubai for this, not the owner — move the keyword or the content",Seasonal and Occasions,1,2,0,8,1.0,1,first-party,0,72,0,27.5,/brunch-catering-dubai,0.267
event catering dubai,90,commercial,374.4,21,43,10,/events,primary,/blog/nye-party-catering-dubai /corporate-event-catering-dubai /gala-dinner-catering-dubai /halal-private-dining-dubai /locations/dubai-hills /locations/dubai-marina,True,True,True,False,2,False,exact,medium — many bodies say it,"competitor #5, we not in top 30",1.0,8,one H2 carries it; answer a FAQ that contains it,Private Events,18,55,0,992.0,0,1,ga4,0,62,0,42.9,/events,0.23
best catering companies in dubai,90,commercial,445.5,41,,10,/how-to-choose-caterer-dubai,sub,/catering-dubai,False,False,False,False,1,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.0,3,a second natural mention; cover it in a FAQ answer; merge → /best-catering-companies-dubai,Blog and Guides,1,1,0,,,0,,,,,,,
business lunch palm jumeirah,90,commercial,209.7,,,10,/locations/palm-jumeirah,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,1,write one sentence that says it; cover it in a FAQ answer,Locations,3,3,0,5,1.0,1,first-party,,,,,,
best catering service in dubai,70,commercial,316.4,,,10,/allergy-safe-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,3,a second natural mention; cover it in a FAQ answer; merge → /best-catering-companies-dubai,Cuisines and Dietary,3,3,0,65,0.0,1,first-party,,,,,,
private dinner in dubai,70,transactional,116.9,1,39,10,/apartment-private-dining-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,3,a second natural mention; cover it in a FAQ answer; merge → /luxury-dining-experiences,Dining Experiences,0,0,0,,,0,,0,8,0,39.2,/luxury-dining-experiences,0.038
dubai catering company list,70,commercial,193.9,17,,10,/arabic-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.14,3,a second natural mention; cover it in a FAQ answer,Cuisines and Dietary,8,9,0,,,0,,,,,,,
catering jobs dubai,70,informational,34.3,13,,10,/become-a-mychef,sub,,False,False,False,False,1,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.0,2,a second natural mention; cover it in a FAQ answer,Partners / Recruit,2,2,0,,,0,,,,,,,
list of catering companies in dubai,70,commercial,172.9,17,,10,/best-catering-companies-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.33,3,a second natural mention; cover it in a FAQ answer,Catering,0,0,0,,1.0,1,first-party,,,,,,
chef hire,70,transactional,192.5,,23,10,/blog/how-to-hire-a-private-chef-dubai,sub,,False,False,False,False,1,False,partial,low,"no tracked competitor in top 30, we #30",0.56,3,a second natural mention; cover it in a FAQ answer; merge → /locations/dubai-marina,Blog and Guides,1,1,0,54.0,0,2,ga4,0,3,0,23.3,/private-chef-dubai/pricing,0.014
finger food catering dubai,70,commercial,275.8,,24,10,/canape-catering-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,1,"write one sentence that says it; cover it in a FAQ answer; Google ranks /finger-food-catering-dubai for this, not the owner — move the keyword or the content",Catering,14,17,0,12,0.6,5,first-party,0,24,0,24.5,/finger-food-catering-dubai,0.114
chef middle east dubai,70,informational,37.1,,,10,/chefs/layla-middle-eastern-chef,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,3,a second natural mention; cover it in a FAQ answer,Private Chef,1,3,0,,,0,,,,,,,
christmas catering dubai,70,commercial,668.5,32,26,10,/christmas-catering-dubai,primary,/brunch-catering-dubai /new-year-catering-dubai,True,True,True,True,6,True,exact,low,"no tracked competitor in top 30, we #32",1.0,10,"Google ranks /festive-catering-dubai for this, not the owner — move the keyword or the content",Seasonal and Occasions,6,8,0,3,0.667,3,first-party,0,83,0,26.3,/festive-catering-dubai,0.395
corporate catering dubai,70,commercial,711.2,,42,10,/corporate,primary,/blog/corporate-event-catering-ideas-dubai /buffet-vs-plated-dubai /corporate-catering-checklist-dubai /corporate-dinner-package-dubai /corporate-retainer-dubai /dubai-catering-prices-guide,True,True,True,True,3,False,exact,medium — many bodies say it,no tracked competitor in top 30,1.0,9,"answer a FAQ that contains it; Google ranks /blog/corporate-event-catering-ideas-dubai for this, not the owner — move the keyword or the content",Corporate Catering,20,54,1,128.0,0,1,ga4,0,210,0,42.2,/blog/corporate-event-catering-ideas-dubai,1.0
indian catering dubai,70,commercial,108.5,9,,10,/indian-catering-dubai,primary,/jain-catering-dubai,True,True,True,True,12,True,exact,low,no tracked competitor in top 30,1.0,10,hold — nothing to do,Cuisines and Dietary,2,2,0,186,1.0,1,first-party,,,,,,
unique dining experiences dubai,70,informational,59.5,7,,10,/luxury-dining-experiences,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,3,a second natural mention; cover it in a FAQ answer,Dining Experiences,49,107,0,267.3,0.3333,3,ga4,,,,,,
part time cook in dubai,70,informational,138.6,,,10,/part-time-private-chef-dubai,sub,/private-chef-dubai /private-chef-dubai/how-it-works,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.14,4,a second natural mention; cover it in a FAQ answer,Private Chef,0,0,0,2,1.0,3,first-party,,,,,,
chef at home dubai,70,informational,172.9,17,29,10,/private-chef-dubai,sub,/bbq-catering-dubai /sushi-catering-dubai,False,False,False,False,0,False,partial,medium — SERP looks like another page,"no tracked competitor in top 30, we #28",0.27,2,"write one sentence that says it; cover it in a FAQ answer; Google ranks / for this, not the owner — move the keyword or the content; merge → /apartment-private-dining-dubai",Private Chef,114,355,0,143.3,0.3571,14,ga4,0,41,0,29.3,/,0.195
personal chef dubai,70,commercial,171.5,0,36,10,/private-chef-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,"no tracked competitor in top 30, we #28",0.43,3,"a second natural mention; cover it in a FAQ answer; Google ranks / for this, not the owner — move the keyword or the content; merge → /private-chef-dubai/how-it-works",Private Chef,114,355,0,143.3,0.3571,14,ga4,1,133,0.0075,35.8,/,0.633
birthday catering dubai,50,commercial,192.5,29,31,10,/birthday-catering-dubai,primary,/birthday-catering-package-dubai /brunch-catering-dubai /villa-catering-ideas-dubai,True,True,True,True,3,False,exact,low,no tracked competitor in top 30,1.0,9,"answer a FAQ that contains it; Google ranks /kids-birthday-catering-dubai for this, not the owner — move the keyword or the content",Private Events,12,14,0,9,0.333,3,first-party,0,25,0,31.2,/kids-birthday-catering-dubai,0.167
chef at home,50,informational,267.5,45,28,10,/blog/private-chef-vs-restaurant-dubai,sub,/ /bbq-catering-dubai /blog /blog/how-to-hire-a-private-chef-dubai /blog/private-chef-date-night-dubai /blog/vegan-catering-dubai-guide,False,False,False,True,4,False,partial,medium — many bodies say it,"no tracked competitor in top 30, we #21",0.14,3,"remove it from the heading (subs live in sentences); cover it in a FAQ answer; Google ranks / for this, not the owner — move the keyword or the content",Blog and Guides,0,0,0,,1.0,1,first-party,0,41,0,27.8,/,0.273
grazing table dubai,50,navigational,112.5,,6,10,/grazing-table-dubai,primary,/baby-shower-catering-dubai /blog/grazing-table-vs-buffet-dubai,True,True,True,True,7,True,exact,low,no tracked competitor in top 30,1.0,10,hold — nothing to do,Catering,13,19,0,4,1.0,3,first-party,0,3,0,6,/grazing-table-dubai,0.02
live cooking stations dubai,50,commercial,74.0,,,10,/live-cooking-stations-dubai,primary,/mediterranean-catering-dubai,True,True,True,True,6,True,partial,low,no tracked competitor in top 30,1.0,9,get an inbound link with this anchor,Catering,3,3,0,1,1.0,1,first-party,,,,,,
office catering dubai,50,commercial,215.0,,41,10,/office-catering-dubai,primary,/blog/corporate-catering-full-service-vs-drop-off /breakfast-catering-dubai /corporate-catering-checklist-dubai,True,True,True,True,3,False,exact,low,no tracked competitor in top 30,1.0,9,"answer a FAQ that contains it; Google ranks /blog/corporate-event-catering-ideas-dubai for this, not the owner — move the keyword or the content",Corporate Catering,6,12,0,4,1.0,5,first-party,0,198,0,41.3,/blog/corporate-event-catering-ideas-dubai,1.32
yacht catering dubai,50,commercial,175.0,,28,10,/yachts,primary,/case-studies /dubai-catering-prices-guide /dubai-event-catering-price-guide-2026 /guide/private-dining-dubai /how-to-choose-caterer-dubai /locations/dubai-hills,True,True,True,True,3,False,exact,medium — many bodies say it,"no tracked competitor in top 30, we #28",1.0,9,"answer a FAQ that contains it; Google ranks /yacht-catering-guide-dubai for this, not the owner — move the keyword or the content",Private Chef,10,10,0,0,1.0,2,first-party,0,209,0,28.0,/yacht-catering-guide-dubai,1.393
birthday party catering dubai,40,commercial,159.6,,52,10,/birthday-catering-dubai,sub,,False,False,False,False,1,False,partial,low,no tracked competitor in top 30,0.5,3,"a second natural mention; Google ranks /kids-birthday-catering-dubai for this, not the owner — move the keyword or the content; merge → /birthday-catering-package-dubai",Private Events,12,14,0,9,0.333,3,first-party,0,82,0,51.7,/kids-birthday-catering-dubai,0.683
weekly meal prep,40,informational,158.8,,3,10,/blog/weekly-meal-prep-vs-full-time-chef-dubai,sub,/ /blog/how-to-hire-a-private-chef-dubai /faq /fitness-meal-prep-dubai /full-time-private-chef-dubai /kids-nutrition-chef-dubai,True,True,True,True,12,False,exact,medium — many bodies say it,no tracked competitor in top 30,,5,remove it from the heading (subs live in sentences),Blog and Guides,1,3,0,,,0,,0,1,0,3,/private-chef-dubai,0.008
buffet catering dubai,40,commercial,188.8,,33,10,/buffet-catering-dubai,primary,/buffet-vs-plated-dubai /iftar-catering-dubai /vegetarian-catering-dubai /wedding-catering-dubai,True,True,True,True,6,False,partial,low,no tracked competitor in top 30,1.0,8,answer a FAQ that contains it; get an inbound link with this anchor,Catering,10,12,0,2,1.0,2,first-party,0,32,0,32.6,/buffet-catering-dubai,0.267
outdoor catering dubai,40,commercial,151.6,,,10,/catering-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.07,1,write one sentence that says it,Catering,80,211,0,47.5,0,2,ga4,,,,,,
party food catering dubai,40,commercial,0,,45,10,/catering-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.17,1,"write one sentence that says it; Google ranks /private-party-catering-dubai for this, not the owner — move the keyword or the content",Catering,80,211,0,47.5,0,2,ga4,0,56,0,45.4,/private-party-catering-dubai,0.467
private catering dubai,40,commercial,251.6,,46,10,/catering-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.08,1,"write one sentence that says it; Google ranks / for this, not the owner — move the keyword or the content; merge → /private-party-catering-dubai",Catering,80,211,0,47.5,0,2,ga4,0,111,0,46.1,/,0.925
dubai food expo 2026,40,informational,98.0,,,10,/dubai-food-trends-report-2026,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.07,1,write one sentence that says it,Blog and Guides,2,2,0,,,0,,,,,,,
iftar catering dubai,40,transactional,0,,,10,/iftar-catering-dubai,primary,/blog/iftar-at-home-dubai /ramadan-catering-guide-dubai,True,True,True,True,5,True,exact,low,no tracked competitor in top 30,1.0,10,hold — nothing to do,Seasonal and Occasions,1,1,0,,,0,,,,,,,
dubai marina yacht tour with dinner,40,informational,42.8,,,10,/partners/yacht-charters-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,1,write one sentence that says it,Partners / Recruit,0,0,0,,,0,,,,,,,
