keyword,search_volume_uae,intent,commercial_value_usd,serp_similarity_to_owner,ranking_difficulty,current_position_uae,gsc_impressions,gsc_ctr,bing_impressions,bing_ctr,competitor_gap,entity_coverage_tokens,exact_phrase_on_page,owner_page,role,recommended_page,action
catering near by me,880,commercial,0,,2,,,,,,"competitor #5, we not in top 30",1.0,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
catering service abu dhabi,880,commercial,0,,20,n/a,,,,,"competitor #11, we not in top 30",,,,,,drop — off-intent
catering services abu dhabi,880,commercial,0,,20,n/a,,,,,"competitor #6, we not in top 30",,,,,,drop — off-intent
chef hiring dubai,720,commercial,288.0,,0,,,,,,no tracked competitor in top 30,0.5,False,,,/become-a-mychef,merge → /become-a-mychef
chef hiring in dubai,720,commercial,460.8,,0,,,,,,"competitor #27, we not in top 30",0.5,False,,,/become-a-mychef,merge → /become-a-mychef
chef jobs dubai,720,transactional,460.8,0.07,0,,,,,,no tracked competitor in top 30,1.0,True,/become-a-mychef,sub,/become-a-mychef,keep on /become-a-mychef
chef work in dubai,720,commercial,460.8,,0,,,,,,no tracked competitor in top 30,1.0,False,,,,drop — off-intent
chefs dubai,720,commercial,0,0.1,0,,,,,,"competitor #7, we not in top 30",1.0,True,/our-chefs,sub,/our-chefs,keep (sub)
dubai chef vacancies,720,informational,460.8,,0,,,,,,no tracked competitor in top 30,1.0,False,,,/become-a-mychef,merge → /become-a-mychef
catering companies in abu dhabi,590,commercial,0,,20,n/a,,,,,"competitor #10, we not in top 30",,,,,,drop — off-intent
catering company in abu dhabi,590,commercial,0,,8,n/a,,,,,"competitor #11, we not in top 30",,,,,,drop — off-intent
luxury dining in dubai,590,informational,1303.9,1.0,8,,,,,,no tracked competitor in top 30,1.0,True,/luxury-dining-experiences,primary,/luxury-dining-experiences,keep (primary)
meal prep dubai,590,transactional,4124.1,1.0,21,,,,,,no tracked competitor in top 30,1.0,True,/weekly-meal-prep-dubai,primary,/weekly-meal-prep-dubai,keep (primary)
romantic dinner dubai,590,informational,1156.4,1.0,0,,,,,,no tracked competitor in top 30,1.0,True,/romantic-dinner-dubai,primary,/romantic-dinner-dubai,keep (primary)
the indian chef,480,informational,0,,0,,,,,,"competitor #22, we not in top 30",,,,,,backlog
healthy meal plan dubai,390,commercial,2102.1,0.4,21,,,,,,no tracked competitor in top 30,1.0,False,/wellness-meal-prep-dubai,sub,/wellness-meal-prep-dubai,keep (sub)
lezzeti catering,390,informational,0,,2,n/a,,,,,"competitor #25, we not in top 30",,,,,,backlog
steak chef al ain,390,commercial,0,,0,,,,,,"competitor #26, we not in top 30",,,,,,drop — off-intent
yacht dinner in dubai,390,transactional,748.8,,10,,,,,,no tracked competitor in top 30,1.0,True,/yacht-catering-guide-dubai,sub,/yacht-catering-guide-dubai,keep (sub)
caterer middle east,320,commercial,0,,2,,,,,,"competitor #10, we not in top 30",0.33,False,,,,drop — off-intent
caterers services near me,320,commercial,0,,7,,,,,,"competitor #3, we not in top 30",1.0,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
catering companies in uae,320,commercial,0,0.08,26,,,,,,"competitor #6, we not in top 30",1.0,True,/cuisines-dubai,sub,/cuisines-dubai,keep (sub)
catering middle east,320,commercial,0,,11,n/a,,,,,"competitor #26, we not in top 30",,,,,,drop — off-intent
cooks in dubai,320,commercial,0,,0,,,,,,"competitor #4, we not in top 30",1.0,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
private chef dubai,320,commercial,1020.8,1.0,0,23,,,5,0.2,"competitor #2, we #23",1.0,True,/private-chef-dubai,primary,/private-chef-dubai,keep (primary)
private chef in dubai,320,transactional,1020.8,0.36,0,25,,,,,"no tracked competitor in top 30, we #25",1.0,True,/,sub,/private-chef-dubai/how-it-works,merge → /private-chef-dubai/how-it-works
private chef jobs dubai,320,transactional,51.2,1.0,0,,,,,,"competitor #18, we not in top 30",1.0,True,/become-a-mychef,primary,/become-a-mychef,keep (primary)
private chefs dubai,320,commercial,1020.8,1.0,0,,,,,,no tracked competitor in top 30,1.0,True,/our-chefs,primary,/our-chefs,keep (primary)
private chefs in dubai,320,commercial,1020.8,0.27,0,27,,,,,"no tracked competitor in top 30, we #27",1.0,True,/how-we-vet-our-chefs,sub,/private-chef-dubai/how-it-works,merge → /private-chef-dubai/how-it-works
beyond catering,260,commercial,0,,0,n/a,,,,,"competitor #22, we not in top 30",,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
catering company in uae,260,commercial,878.8,0.0,26,,,,,,"competitor #8, we not in top 30",0.5,False,/,sub,/,keep (sub)
catering service in abu dhabi,260,commercial,0,,10,n/a,,,,,"competitor #11, we not in top 30",,,,,,drop — off-intent
desert dining dubai,260,informational,871.0,1.0,2,,,,,,no tracked competitor in top 30,1.0,True,/desert-dining-dubai,primary,/desert-dining-dubai,keep (primary)
desert dinner in dubai,260,informational,871.0,0.5,2,,,,,,no tracked competitor in top 30,1.0,True,/blog/desert-dinner-party-dubai,sub,/blog/desert-dinner-party-dubai,keep (sub)
aqaya catering,210,informational,0,,0,n/a,,,,,"competitor #30, we not in top 30",,,,,,backlog
catering dubai party,210,commercial,1092.0,0.18,0,,,,,,"competitor #6, we not in top 30",1.0,True,/catering-dubai,sub,/birthday-catering-package-dubai,merge → /birthday-catering-package-dubai
catering in sharjah,210,commercial,0,,0,,,,,,"competitor #5, we not in top 30",,,,,,drop — off-intent
catering sharjah,210,commercial,0,,0,,,,,,"competitor #8, we not in top 30",,,,,,drop — off-intent
chef cook,210,informational,0,,3,,,,,,"competitor #10, we not in top 30",1.0,True,,,,backlog
chef cooking,210,informational,0,,15,,,,,,"competitor #25, we not in top 30",1.0,True,,,,backlog
delicut meal plan,210,informational,0,,0,,,,,,"competitor #16, we not in top 30",,,,,,backlog
food caterers,210,commercial,0,,9,,,,,,"competitor #5, we not in top 30",0.5,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
iftar meal box,210,transactional,0,,0,,,,,,no tracked competitor in top 30,1.0,True,/blog/iftar-at-home-dubai,sub,/blog/iftar-at-home-dubai,keep (sub)
la vita catering services dubai,210,commercial,0,,0,,,,,,no tracked competitor in top 30,,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
party catering dubai,210,commercial,1092.0,0.57,7,,,,,,"competitor #6, we not in top 30",1.0,True,/private-party-catering-dubai,sub,/private-party-catering-dubai,keep (sub)
party catering in dubai,210,commercial,1092.0,,3,n/a,,,,,"competitor #5, we not in top 30",1.0,True,/baby-shower-catering-dubai,sub,/baby-shower-catering-dubai,keep (sub)
pink pepper services party event catering equipment rental dubai,210,commercial,0,,0,,,,,,"competitor #26, we not in top 30",,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
private chef,210,informational,703.5,0.57,0,33,,,,,"competitor #5, we #33",1.0,True,/private-chef-dubai,sub,/private-chef-dubai,keep (sub)
xl catering,210,commercial,0,,2,n/a,,,,,"competitor #19, we not in top 30",,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
best caterers in dubai,170,commercial,0,0.0,13,,,,,,"competitor #4, we not in top 30",1.0,True,/how-to-choose-caterer-dubai,sub,/best-catering-companies-dubai,merge → /best-catering-companies-dubai
best catering dubai,170,commercial,487.9,,22,,,,,,"competitor #4, we not in top 30",1.0,False,,,/best-catering-companies-dubai,merge → /best-catering-companies-dubai
best catering in dubai,170,commercial,663.0,,22,,,,,,"competitor #4, we not in top 30",1.0,False,,,/best-catering-companies-dubai,merge → /best-catering-companies-dubai
catering service in sharjah,170,commercial,0,,0,,,,,,"competitor #6, we not in top 30",,,,,,drop — off-intent
catering services in sharjah,170,commercial,0,,0,,,,,,"competitor #6, we not in top 30",,,,,,drop — off-intent
catering services sharjah,170,commercial,0,,0,,,,,,"competitor #7, we not in top 30",,,,,,drop — off-intent
chef course dubai,170,informational,260.1,,12,,,,,,no tracked competitor in top 30,1.0,False,,,/chef-training-academy,merge → /chef-training-academy
chef course in dubai,170,commercial,248.2,,23,,,,,,no tracked competitor in top 30,1.0,False,,,/chef-training-academy,merge → /chef-training-academy
chef courses dubai,170,commercial,248.2,,11,,,,,,no tracked competitor in top 30,1.0,False,,,/chef-training-academy,merge → /chef-training-academy
chef courses in dubai,170,commercial,260.1,,6,,,,,,no tracked competitor in top 30,1.0,False,,,/chef-training-academy,merge → /chef-training-academy
chef india,170,informational,0,,4,,,,,,"competitor #14, we not in top 30",,,,,,backlog
chef indian,170,informational,0,,0,,,,,,"competitor #13, we not in top 30",,,,,,backlog
chef training dubai,170,commercial,260.1,1.0,4,,,,,,no tracked competitor in top 30,1.0,True,/chef-training-academy,primary,/chef-training-academy,keep (primary)
chef yasser dubai,170,commercial,0,,0,,,,,,"competitor #15, we not in top 30",,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
chefs indian,170,informational,0,,0,,,,,,"competitor #17, we not in top 30",,,,,,backlog
food catering dubai,170,commercial,651.1,0.4,10,,,,,,"competitor #8, we not in top 30",1.0,True,/catering-dubai,sub,/catering-dubai,keep (sub)
grandiose catering dubai,170,commercial,244.8,,1,,,,,,no tracked competitor in top 30,,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
independent food company dubai,170,commercial,142.8,,1,,,,,,no tracked competitor in top 30,1.0,True,/influencer-partnerships,sub,/influencer-partnerships,keep (sub)
indian chef,170,informational,0,,0,,,,,,"competitor #18, we not in top 30",,,,,,backlog
indian chefs,170,informational,0,,0,,,,,,"competitor #17, we not in top 30",,,,,,backlog
ncc catering company dubai,170,commercial,448.8,,0,,,,,,no tracked competitor in top 30,,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
part time cook for home dubai,170,transactional,346.8,,0,,,,,,"competitor #7, we not in top 30",0.5,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
private dining dubai,170,commercial,436.9,1.0,0,,,,,,no tracked competitor in top 30,1.0,True,/guide/private-dining-dubai,primary,/guide/private-dining-dubai,keep (primary)
romantic private dining dubai,170,informational,436.9,0.09,0,,,,,,no tracked competitor in top 30,1.0,True,/guide/private-dining-dubai,sub,/guide/private-dining-dubai,keep (sub)
white boutique catering,170,commercial,0,,3,n/a,,,,,"competitor #30, we not in top 30",,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
catering for corporate lunch,140,commercial,0,,0,34,,,,,"competitor #3, we #34",1.0,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
chef chef cook,140,informational,0,,4,,,,,,"competitor #11, we not in top 30",,,,,,backlog
chef de cuisine,140,informational,0,,0,,,,,,"competitor #26, we not in top 30",,,,,,backlog
chef salaries in dubai,140,informational,0,,0,,,,,,no tracked competitor in top 30,,,,,,backlog
cook chef,140,informational,0,,7,,,,,,"competitor #6, we not in top 30",1.0,False,,,,backlog
cook near me,140,commercial,0,,0,,,,,,"competitor #11, we not in top 30",1.0,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
cookery chef,140,informational,0,,24,,,,,,"competitor #11, we not in top 30",0.5,False,,,,backlog
cooking chef,140,informational,0,,11,,,,,,"competitor #9, we not in top 30",1.0,False,,,,backlog
cooking chefs,140,informational,0,,14,,,,,,"competitor #1, we not in top 30",1.0,False,,,,backlog
corporate catering lunch,140,transactional,0,,0,27,,,,,"competitor #2, we #27",1.0,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
corporate lunch catering,140,commercial,0,,0,,,,,,"competitor #5, we not in top 30",1.0,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
fb catering abu dhabi,140,commercial,0,,11,n/a,,,,,"competitor #19, we not in top 30",,,,,,drop — off-intent
food party dubai menu,140,informational,0,0.0,0,,,,,,no tracked competitor in top 30,1.0,True,/blog/dinner-party-menu-ideas-dubai,sub,/blog/dinner-party-menu-ideas-dubai,keep (sub)
grand catering,140,commercial,0,,0,n/a,,,,,"competitor #24, we not in top 30",,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
home catering dubai,140,commercial,746.2,0.08,4,,,,,,"competitor #7, we not in top 30",1.0,True,/catering-dubai,sub,/private-party-catering-dubai,merge → /private-party-catering-dubai
lunch corporate catering,140,commercial,0,,0,32,,,,,"competitor #5, we #32",1.0,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
barbecue catering dubai,110,commercial,0,,,,,,,,no tracked competitor in top 30,1.0,False,,,/bbq-catering-dubai,merge → /bbq-catering-dubai
barbeque catering dubai,110,commercial,786.5,,,,,,,,no tracked competitor in top 30,0.5,False,,,/bbq-catering-dubai,merge → /bbq-catering-dubai
bbq catering dubai,110,commercial,786.5,1.0,27,,,,,,no tracked competitor in top 30,1.0,True,/bbq-catering-dubai,primary,/bbq-catering-dubai,keep (primary)
canape catering dubai,110,commercial,761.2,1.0,0,,,,,,"competitor #12, we not in top 30",1.0,True,/canape-catering-dubai,primary,/canape-catering-dubai,keep (primary)
caterers for birthday party,110,commercial,0,,0,,,,,,"competitor #4, we not in top 30",0.67,False,,,/birthday-catering-dubai,merge → /birthday-catering-dubai
catering birthday parties,110,commercial,0,,0,,,,,,"competitor #5, we not in top 30",1.0,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
catering for birthday parties,110,commercial,0,,0,,,,,,"competitor #5, we not in top 30",1.0,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
chef coat in dubai,110,commercial,129.8,,13,,,,,,no tracked competitor in top 30,,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
chef jacket dubai,110,transactional,129.8,,11,,,,,,no tracked competitor in top 30,,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
chef jacket in dubai,110,transactional,129.8,,11,,,,,,no tracked competitor in top 30,,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
chef jackets dubai,110,commercial,125.4,,11,,,,,,no tracked competitor in top 30,,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
chef lanka dubai,110,commercial,0,,0,,,,,,no tracked competitor in top 30,,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
chef uniform dubai,110,commercial,129.8,,8,,,,,,no tracked competitor in top 30,,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
chef uniforms dubai,110,commercial,0,,13,,,,,,no tracked competitor in top 30,,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
chef uniforms in dubai,110,commercial,125.4,,6,,,,,,no tracked competitor in top 30,,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
classic catering dubai,110,commercial,0,,30,,,,,,no tracked competitor in top 30,,,,,,new page candidate (passes demand; apply the 3-of-8 rule)
dinner on a yacht,110,informational,113.3,0.0,,,,,,,no tracked competitor in top 30,0.5,False,/partners/yacht-charters-dubai,sub,/partners/yacht-charters-dubai,keep (sub)
top 10 catering companies in dubai,110,commercial,221.1,0.5,29,,,,,,no tracked competitor in top 30,1.0,True,/best-catering-companies-dubai,sub,/best-catering-companies-dubai,keep (sub)
weight loss meal plan dubai,110,commercial,434.5,0.6,26,,,,,,no tracked competitor in top 30,1.0,False,/wellness-meal-prep-dubai,sub,/wellness-meal-prep-dubai,keep (sub)
best catering companies dubai,90,commercial,445.5,1.0,41,,,,,,no tracked competitor in top 30,1.0,True,/best-catering-companies-dubai,primary,/best-catering-companies-dubai,keep (primary)
best catering companies in dubai,90,commercial,445.5,0.0,41,,,,,,no tracked competitor in top 30,1.0,True,/how-to-choose-caterer-dubai,sub,/best-catering-companies-dubai,merge → /best-catering-companies-dubai
best catering company in dubai,90,commercial,445.5,,41,,,,,,no tracked competitor in top 30,1.0,False,,,/best-catering-companies-dubai,merge → /best-catering-companies-dubai
breakfast catering dubai,90,commercial,264.6,1.0,,,,,,,no tracked competitor in top 30,1.0,True,/breakfast-catering-dubai,primary,/breakfast-catering-dubai,keep (primary)
business lunch palm jumeirah,90,commercial,209.7,0.0,,,,,,,no tracked competitor in top 30,1.0,True,/locations/palm-jumeirah,sub,/locations/palm-jumeirah,keep (sub)
event catering dubai,90,commercial,374.4,1.0,21,,,,,,"competitor #5, we not in top 30",1.0,True,/events,primary,/events,keep (primary)
global catering services dubai,90,commercial,164.7,,10,,,,,,no tracked competitor in top 30,,,,,,backlog
healthy meal prep ideas for the week,90,commercial,325.8,,,,,,,,no tracked competitor in top 30,1.0,True,/blog/weekly-meal-prep-vs-full-time-chef-dubai,sub,/blog/weekly-meal-prep-vs-full-time-chef-dubai,keep (sub)
i cat innovative catering services dubai,90,commercial,0,,,,,,,,no tracked competitor in top 30,,,,,,backlog
rainbow steak house catering services llc central kitchen dubai,90,commercial,167.4,,,,,,,,no tracked competitor in top 30,,,,,,backlog
best catering service in dubai,70,commercial,316.4,0.0,,,,,,,no tracked competitor in top 30,1.0,True,/allergy-safe-catering-dubai,sub,/best-catering-companies-dubai,merge → /best-catering-companies-dubai
best catering services in dubai,70,commercial,0,,,,,,,,no tracked competitor in top 30,1.0,False,,,/best-catering-companies-dubai,merge → /best-catering-companies-dubai
catering jobs dubai,70,informational,34.3,0.0,13,,,,,,no tracked competitor in top 30,1.0,True,/become-a-mychef,sub,/become-a-mychef,keep on /become-a-mychef
catering vacancies dubai,70,commercial,34.3,,,n/a,,,,,,,,,,/become-a-mychef,merge → /become-a-mychef
catering vacancies in dubai,70,commercial,34.3,,,,,,,,no tracked competitor in top 30,,,,,/become-a-mychef,merge → /become-a-mychef
chef at home dubai,70,informational,172.9,0.27,17,28,,,,,"no tracked competitor in top 30, we #28",1.0,False,/private-chef-dubai,sub,/apartment-private-dining-dubai,merge → /apartment-private-dining-dubai
chef hire,70,transactional,192.5,0.56,,30,,,,,"no tracked competitor in top 30, we #30",1.0,True,/blog/how-to-hire-a-private-chef-dubai,sub,/locations/dubai-marina,merge → /locations/dubai-marina
chef middle east dubai,70,informational,37.1,0.0,,,,,,,no tracked competitor in top 30,1.0,False,/chefs/layla-middle-eastern-chef,sub,/chefs/layla-middle-eastern-chef,keep (sub)
christmas catering dubai,70,commercial,668.5,1.0,32,32,,,,,"no tracked competitor in top 30, we #32",1.0,True,/christmas-catering-dubai,primary,/christmas-catering-dubai,keep (primary)
corporate catering dubai,70,commercial,711.2,1.0,,,,,,,no tracked competitor in top 30,1.0,True,/corporate,primary,/corporate,keep (primary)
dubai catering company list,70,commercial,193.9,0.14,17,,,,,,no tracked competitor in top 30,1.0,True,/arabic-catering-dubai,sub,/arabic-catering-dubai,keep (sub)
finger food catering dubai,70,commercial,275.8,0.0,,,,,,,no tracked competitor in top 30,1.0,True,/canape-catering-dubai,sub,/canape-catering-dubai,keep (sub)
freelance chef dubai,70,commercial,0,,0,27,,,,,"no tracked competitor in top 30, we #27",0.5,False,,,/blog/how-to-hire-a-private-chef-dubai,merge → /blog/how-to-hire-a-private-chef-dubai
gazebo catering services dubai,70,commercial,0,,,,,,,,no tracked competitor in top 30,0.33,False,,,,backlog
indian catering dubai,70,commercial,108.5,1.0,9,,,,,,no tracked competitor in top 30,1.0,True,/indian-catering-dubai,primary,/indian-catering-dubai,keep (primary)
indian catering services dubai,70,commercial,0,,28,,,,,,no tracked competitor in top 30,0.67,False,,,/indian-catering-dubai,merge → /indian-catering-dubai
indian food catering dubai,70,commercial,137.2,,,,,,,,no tracked competitor in top 30,1.0,False,,,,backlog
indian food catering in dubai,70,commercial,85.4,,,,,,,,no tracked competitor in top 30,1.0,False,,,/indian-catering-dubai,merge → /indian-catering-dubai
list of catering companies in dubai,70,commercial,172.9,0.33,17,,,,,,no tracked competitor in top 30,1.0,True,/best-catering-companies-dubai,sub,/best-catering-companies-dubai,keep (sub)
part time cook in dubai,70,informational,138.6,0.14,,,,,,,no tracked competitor in top 30,1.0,True,/part-time-private-chef-dubai,sub,/part-time-private-chef-dubai,keep (sub)
personal chef dubai,70,commercial,171.5,0.43,0,28,,,,,"no tracked competitor in top 30, we #28",1.0,False,/private-chef-dubai,sub,/private-chef-dubai/how-it-works,merge → /private-chef-dubai/how-it-works
private dinner in dubai,70,transactional,116.9,0.0,1,,,,,,no tracked competitor in top 30,1.0,True,/apartment-private-dining-dubai,sub,/guide/private-dining-dubai,merge → /guide/private-dining-dubai
unique dining experiences dubai,70,informational,59.5,0.0,7,,,,,,no tracked competitor in top 30,0.67,False,/luxury-dining-experiences,sub,/luxury-dining-experiences,keep (sub)
affordable catering services in dubai,50,commercial,181.5,,,,,,,,no tracked competitor in top 30,0.67,False,,,/best-catering-companies-dubai,merge → /best-catering-companies-dubai
beyond catering dubai,50,commercial,148.0,,,,,,,,no tracked competitor in top 30,0.5,False,,,,backlog
birthday catering dubai,50,commercial,192.5,1.0,29,,,,,,no tracked competitor in top 30,1.0,True,/birthday-catering-dubai,primary,/birthday-catering-dubai,keep (primary)
chef at home,50,informational,267.5,0.14,45,21,,,,,"no tracked competitor in top 30, we #21",1.0,True,/blog/private-chef-vs-restaurant-dubai,sub,/blog/private-chef-vs-restaurant-dubai,keep (sub)
chef kitchen dubai,50,informational,271.0,,,29,,,,,"no tracked competitor in top 30, we #29",1.0,False,,,,backlog
chef wong dubai,50,commercial,0,,0,,,,,,no tracked competitor in top 30,,,,,,backlog
grazing table dubai,50,navigational,112.5,1.0,,,,,,,no tracked competitor in top 30,1.0,True,/grazing-table-dubai,primary,/grazing-table-dubai,keep (primary)
home catering services dubai,50,commercial,95.0,,44,,,,,,no tracked competitor in top 30,1.0,False,,,/private-party-catering-dubai,merge → /private-party-catering-dubai
indian cook for home in dubai,50,transactional,106.5,,13,,,,,,no tracked competitor in top 30,0.67,False,,,,backlog
live cooking stations dubai,50,commercial,74.0,1.0,,,,,,,no tracked competitor in top 30,1.0,True,/live-cooking-stations-dubai,primary,/live-cooking-stations-dubai,keep (primary)
luxury catering dubai,50,commercial,349.5,0.0,,,,,,,no tracked competitor in top 30,1.0,False,/,sub,/,keep (sub)
meal prep companies dubai,50,commercial,545.0,,,,,,,,no tracked competitor in top 30,0.67,False,,,/weekly-meal-prep-dubai,merge → /weekly-meal-prep-dubai
office catering dubai,50,commercial,215.0,1.0,,,,,,,no tracked competitor in top 30,1.0,True,/office-catering-dubai,primary,/office-catering-dubai,keep (primary)
yacht catering dubai,50,commercial,175.0,1.0,,28,,,,,"no tracked competitor in top 30, we #28",1.0,True,/yachts,primary,/yachts,keep (primary)
adnh catering dubai,40,informational,70.8,,,,,,,,no tracked competitor in top 30,,,,,,backlog
birthday party catering dubai,40,commercial,159.6,0.5,,,,,,,no tracked competitor in top 30,1.0,False,/birthday-catering-dubai,sub,/birthday-catering-package-dubai,merge → /birthday-catering-package-dubai
buffet catering dubai,40,commercial,188.8,1.0,,,,,,,no tracked competitor in top 30,1.0,True,/buffet-catering-dubai,primary,/buffet-catering-dubai,keep (primary)
catering equipment dubai,40,commercial,47.6,,33,,,,,,no tracked competitor in top 30,,,,,,backlog
catering equipment in dubai,40,commercial,47.6,,,,,,,,no tracked competitor in top 30,,,,,,backlog
catering equipment rental dubai,40,commercial,48.0,,,,,,,,no tracked competitor in top 30,,,,,,backlog
chef burger dubai,40,commercial,0,,0,,,,,,no tracked competitor in top 30,,,,,,backlog
chef pillai dubai,40,commercial,10.4,,0,,,,,,no tracked competitor in top 30,,,,,,backlog
chef uniform shops in dubai,40,commercial,42.4,,,,,,,,no tracked competitor in top 30,,,,,,backlog
dubai catering equipment,40,commercial,47.6,,33,,,,,,no tracked competitor in top 30,,,,,,backlog
dubai food expo 2026,40,informational,98.0,0.07,,,,,,,no tracked competitor in top 30,1.0,True,/dubai-food-trends-report-2026,sub,/dubai-food-trends-report-2026,keep (sub)
dubai marina yacht tour with dinner,40,informational,42.8,0.0,,,,,,,no tracked competitor in top 30,0.5,False,/partners/yacht-charters-dubai,sub,/partners/yacht-charters-dubai,keep (sub)
food catering services dubai,40,commercial,0,,,,,,,,no tracked competitor in top 30,0.67,False,,,/buffet-catering-dubai,merge → /buffet-catering-dubai
food catering services in dubai,40,commercial,0,,41,,,,,,no tracked competitor in top 30,1.0,False,,,/best-catering-companies-dubai,merge → /best-catering-companies-dubai
good chef dubai,40,informational,0,,,,,,,,no tracked competitor in top 30,,,,,,backlog
iftar catering dubai,40,transactional,0,1.0,,,,,,,no tracked competitor in top 30,1.0,True,/iftar-catering-dubai,primary,/iftar-catering-dubai,keep (primary)
master chef in dubai,40,informational,0,,0,,,,,,no tracked competitor in top 30,,,,,,backlog
outdoor catering dubai,40,commercial,151.6,0.07,,,,,,,no tracked competitor in top 30,1.0,True,/catering-dubai,sub,/catering-dubai,keep (sub)
outside catering dubai,40,commercial,140.8,,,,,,,,no tracked competitor in top 30,0.5,False,,,/best-catering-companies-dubai,merge → /best-catering-companies-dubai
party catering services in dubai,40,commercial,0,,,,,,,,no tracked competitor in top 30,1.0,False,,,/catering-dubai,merge → /catering-dubai
party food catering dubai,40,commercial,0,0.17,,,,,,,no tracked competitor in top 30,1.0,True,/catering-dubai,sub,/catering-dubai,keep (sub)
private catering dubai,40,commercial,251.6,0.08,,,,,,,no tracked competitor in top 30,1.0,True,/catering-dubai,sub,/private-party-catering-dubai,merge → /private-party-catering-dubai
ramadan catering dubai,40,commercial,0,1.0,,,,,,,no tracked competitor in top 30,1.0,True,/ramadan-catering-dubai,primary,/ramadan-catering-dubai,keep (primary)
robo chef dubai marina,40,informational,0,,,,,,,,no tracked competitor in top 30,,,,,,backlog
slices catering services dubai,40,commercial,92.8,,,,,,,,no tracked competitor in top 30,,,,,,backlog
